Time,LMP,Energy,Congestion,Loss,hour,day_of_week,month,quarter,is_weekend,is_monday,is_summer,is_winter,is_peak_hour,is_offpeak_hour,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lmp_lag_24h,lmp_lag_48h,lmp_lag_72h,lmp_lag_168h,congestion_lag_24h,congestion_lag_168h,spike_lag_24h,lmp_roll_24h_mean,lmp_roll_48h_mean,lmp_roll_7d_mean,lmp_roll_24h_std,lmp_roll_7d_std,lmp_roll_24h_max,lmp_roll_24h_min,lmp_vs_7d_avg,is_holiday,is_day_before_holiday
2021-08-25 06:00:00-05:00,38.92,36.970000000000006,2.23,-0.28,6,2,8,3,0,0,1,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,40.02,34.64,24.03,28.19,4.79,-1.27,0,53.10999999999999,46.56479166666666,41.864761904761906,19.36645733130537,14.154418956314716,94.3,30.91,0.9559352108831157,0,0
2021-08-25 07:00:00-05:00,42.37,39.49,3.4,-0.52,7,2,8,3,0,0,1,0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,40.84,38.19,25.86,30.47,5.68,-0.61,0,53.22041666666667,46.876875000000005,41.93720238095238,19.285076789461232,14.117579813521084,94.3,30.91,0.9738370153787197,0,0
2021-08-25 08:00:00-05:00,48.88,43.85,4.04,0.99,8,2,8,3,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,47.71,47.26,30.27,33.64,7.81,0.22,0,53.23916666666667,47.240208333333335,42.03309523809524,19.279247666331905,14.10164864665673,94.3,30.91,1.1350579758580257,0,0
2021-08-25 09:00:00-05:00,56.31,51.970000000000006,3.29,1.05,9,2,8,3,0,0,1,0,0,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,55.85,50.85,33.52,37.16,7.68,0.23,0,53.4475,47.70541666666666,42.16023809523809,19.279322839002642,14.129496770405284,94.3,30.91,1.3247078888368076,0,0
2021-08-25 10:00:00-05:00,62.52,60.3,2.83,-0.61,10,2,8,3,0,0,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,59.8,53.13,35.22,40.17,5.92,0.12,0,53.72541666666667,48.2175,42.294285714285714,19.322573412906355,14.18961691622652,94.3,30.91,1.4139025873133824,0,0
2021-08-25 11:00:00-05:00,71.73,69.99000000000001,0.33,1.41,11,2,8,3,0,0,1,0,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,62.21,56.44,43.95,41.82,3.07,-0.04,0,53.965833333333336,48.59791666666667,42.419999999999995,19.39358296305718,14.272200565506427,94.3,30.91,1.4665252239509667,0,0
2021-08-25 12:00:00-05:00,84.26,80.34,2.59,1.33,12,2,8,3,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,71.43,62.59,46.14,46.2,3.65,-0.06,0,54.334166666666675,49.12479166666666,42.579047619047614,19.6467932811423,14.445700445564912,94.3,30.91,1.6775856669947216,0,0
2021-08-25 13:00:00-05:00,97.32,91.54999999999998,4.93,0.84,13,2,8,3,0,0,1,0,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,82.26,71.47,50.16,51.92,5.14,-0.09,0,54.783750000000005,49.79354166666667,42.784107142857145,20.172391337733437,14.761460678189241,94.3,30.91,1.92267656130656,0,0
2021-08-25 14:00:00-05:00,104.42,102.48,3.48,-1.54,14,2,8,3,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,89.18,80.59,54.47,54.62,4.37,-0.19,0,55.14166666666666,50.51666666666667,42.9977380952381,20.71897736830802,15.168506283649322,94.3,30.91,2.074062589117368,0,0
2021-08-25 15:00:00-05:00,121.56,118.65,4.7,-1.79,15,2,8,3,0,0,1,0,0,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,105.14,94.3,63.79,61.71,7.17,-0.11,1,55.593333333333334,51.378125000000004,43.2697619047619,21.7044482851413,15.859193217935633,105.14,30.91,2.4298723952171595,0,0
2021-08-25 16:00:00-05:00,117.67,114.86,4.35,-1.54,16,2,8,3,0,0,1,0,1,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,104.15,88.67,66.14,58.84,6.79,-0.13,1,56.238333333333344,52.169999999999995,43.55809523809524,22.925787771145195,16.513561219028258,105.14,30.91,2.3910595592093755,0,0
2021-08-25 17:00:00-05:00,98.24,96.51,2.84,-1.11,17,2,8,3,0,0,1,0,1,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,85.82,82.37,59.81,53.48,4.2,-0.01,0,56.382083333333334,52.711875,43.761071428571434,23.106864400597296,16.821188343523374,105.14,30.91,1.96110372069109,0,0
